Handle,Title,Body (HTML),Vendor,Product Category,Type,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Status
peach-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/peach-elongated-chain-handle-purse-bottom.jpg?v=1688731682,
peach-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/peach-elongated-chain-handle-purse-inside.jpg?v=1688731682,
peach-elongated-chain-handle-purse,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/peach-elongated-chain-handle-purse-model.jpg?v=1688731682,
black-suede-zipper-shoulder-bag-with-long-handle,Black suede zipper shoulder bag with long handle,"<ul>
<li class='measurements'>
<strong>Width:</strong> 12 inches</li>
<li class='measurements'>
<strong>Height:</strong> 10.25 inches</li>
<li class='measurements'>
<strong>Depth:</strong> 4.1 inches</li>
</ul>
<ul>
<li class='additional-details'>One main compartment with magnetic closure.</li>
<li class='additional-details'>Two zipper compartment inside.</li>
<li class='additional-details'>Two long shoulder straps.</li>
</ul>
<ul>
<li class='material'>
<strong>Material: </strong>Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,ZSB-03,265.79,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-suede-zipper-shoulder-bag-with-long-handle-quater.jpg?v=1755066311,active
black-suede-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-suede-zipper-shoulder-bag-with-long-handle-model.jpg?v=1755066311,
black-suede-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-suede-zipper-shoulder-bag-with-long-handle-front.jpg?v=1755066311,
black-suede-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-suede-zipper-shoulder-bag-with-long-handle-side.jpg?v=1755066311,
black-suede-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-suede-zipper-shoulder-bag-with-long-handle-inside.jpg?v=1755066311,
mustard-work-tote-bag,Mustard work tote bag,"<ul>    <li class='measurements'>
<b>Width:</b> 14.25 inches</li>    <li class='measurements'>
<b>Height:</b> 10.25 inches</li>    <li class='measurements'>
<b>Depth:</b> 4.8 inches</li> </ul> <ul>    <li class='additional-details'>One main zipper compartment, one pocket with zipper and one slide pocket inside.</li> </ul> <ul>    <li class='material'>
<b>Material: </b>Faux leather.</li> </ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,WTB-08,230.91,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/mustard-work-tote-bag-main.jpg?v=1755154509,active
mustard-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/mustard-work-tote-bag-quater.jpg?v=1755154509,
mustard-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/mustard-work-tote-bag-front.jpg?v=1755154510,
mustard-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/mustard-work-tote-bag-side.jpg?v=1755154509,
mustard-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/mustard-work-tote-bag-inside.jpg?v=1755154510,
black-long-handle-tote-bag,Black long handle tote bag,"<ul>
<li class='measurements'>
<strong>Width:</strong> 17 inches</li>
<li class='measurements'>
<strong>Height:</strong> 11 inches</li>
<li class='measurements'>
<strong>Depth:</strong> 4.5 inches</li>
</ul>
<ul>
<li class='additional-details'>One main zipper compartment, one front pocket with zipper and one slide pocket inside.</li>
</ul>
<ul>
<li class='material'>
<strong>Material: </strong>Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,DCTN-07,227.12,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BlackDCTN_0000_Group2.jpg?v=1754032327,active
black-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BlackDCTN_0001_Group3.jpg?v=1754032327,
black-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BlackDCTN_0002_Group4.jpg?v=1754032327,
black-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BlackDCTN_0003_Group5.jpg?v=1754032327,
black-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BlackDCTN_0004_Group6.jpg?v=1754032327,
black-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BlackDCTN_0005_Group7.jpg?v=1754032327,
off-white-metal-handle-tote-bag,Off-white metal handle tote bag,"<ul>
        <li class='measurements'>
                <b>Width:</b> 12.5 inches
        </li>
        <li class='measurements'>
                <b>Height:</b> 10 inches
        </li>
        <li class='measurements'>
                <b>Depth:</b> 5 inches
        </li>
</ul>
<ul>
<li class='additional-details'>One main zipper compartment.</li>
<li class='additional-details'>Two metallic handles for handheld use.</li>
<li class='additional-details'>Zippered cross-body pouch inside, can also be used seperately.</li>
</ul>
<ul>
<li class='additional-details'>Long adjustable strap.</li>
<br>
<li>
<strong>Material</strong>: Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,MHT-06,265.05,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-metal-handle-tote-bag-quater.jpg?v=1684593589,active
off-white-metal-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-metal-handle-tote-bag-main.jpg?v=1684593589,
off-white-metal-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-metal-handle-tote-bag-front.jpg?v=1688732226,
off-white-metal-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-metal-handle-tote-bag-side.jpg?v=1688732226,
off-white-metal-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-metal-handle-tote-bag-inner.jpg?v=1688732226,
off-white-metal-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-metal-handle-tote-bag-inside.jpg?v=1688732226,
off-white-metal-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/off-white-metal-handle-tote-bag-inside2.jpg?v=1688732226,
blue-and-dragons-bags-brown-double-handle-tote-bag,Blue and brown double-handle tote bag,"<ul>    <li class='measurements'>
<b>Width:</b> 15 inches(top) and 13 inches(bottom)</li>    <li class='measurements'>
<b>Height:</b> 13 inches</li>    <li class='measurements'>
<b>Depth:</b> 4 inches</li> </ul> <ul>    <li class='additional-details'>One main zipper compartment.</li>    <li class='additional-details'>One front slide pocket.</li>    <li class='additional-details'>Long and short handles for either carrying it as a handbag or over the shoulder.</li> </ul> <ul>    <li class='material'>
<b>Material: </b>Faux leather.</li> </ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,TBH-07,213.39,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/blue-and-dragons-bags-brown-double-handle-tote-bag-quater_03203c4f-1534-4f96-91d1-32f2269ff156.jpg?v=1756193784,active
blue-and-dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/blue-and-dragons-bags-brown-double-handle-tote-bag-front_3d081adb-e560-4791-8368-af44030883ab.jpg?v=1756193784,
blue-and-dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/blue-and-dragons-bags-brown-double-handle-tote-bag-quater-2_acd42e27-1481-41a1-b22e-9da3d361ec78.jpg?v=1756190388,
blue-and-dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/blue-and-dragons-bags-brown-double-handle-tote-bag-back_933f17ee-ff78-440a-a09e-d453917e5791.jpg?v=1756190388,
blue-and-dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/blue-and-dragons-bags-brown-double-handle-tote-bag-side.jpg?v=1756190388,
blue-and-dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/blue-and-dragons-bags-brown-double-handle-tote-bag-bottom.jpg?v=1756190388,
blue-and-dragons-bags-brown-double-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/blue-and-dragons-bags-brown-double-handle-tote-bag-inside.jpg?v=1756190388,
coffee-zipper-shoulder-bag-with-long-handle,Coffee zipper shoulder bag with long handle,"<ul>
<li class='measurements'>
<strong>Width:</strong> 12 inches</li>
<li class='measurements'>
<strong>Height:</strong> 10.25 inches</li>
<li class='measurements'>
<strong>Depth:</strong> 4.1 inches</li>
</ul>
<ul>
<li class='additional-details'>One main compartment with magnetic closure.</li>
<li class='additional-details'>Two zipper compartment inside.</li>
<li class='additional-details'>Two long shoulder straps.</li>
</ul>
<ul>
<li class='material'>
<strong>Material: </strong>Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,ZSB-07,258.02,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/coffee-zipper-shoulder-bag-with-long-handle-quater.jpg?v=1755066310,active
coffee-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/coffee-zipper-shoulder-bag-with-long-handle-model.jpg?v=1755066311,
coffee-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/coffee-zipper-shoulder-bag-with-long-handle-front.jpg?v=1755066311,
coffee-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/coffee-zipper-shoulder-bag-with-long-handle-side.jpg?v=1755066311,
coffee-zipper-shoulder-bag-with-long-handle,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/coffee-zipper-shoulder-bag-with-long-handle-closeup.jpg?v=1755066311,
black-suede-classic-tote-bag,Black suede classic tote bag,"<ul>
<li><strong><u>Tote</u>:</strong></li>
<li class='measurements'>
<strong>Width (top):</strong> 17 inches</li>
<li>
<strong>Width (bottom):</strong> 14 inches</li>
<li class='measurements'>
<strong>Height:</strong> 12 inches</li>
<li class='measurements'>
<strong>Depth:</strong> 6 inches</li>
</ul>

<ul>
<li class='additional-details'>One main compartment with zipper closure.</li>
<li>Zippered pouch inside.</li>
</ul>

<ul>
<li>
<strong><u>Pouch</u></strong><strong>:</strong>
</li>
<li class='measurements'>
<strong>Width:</strong> 10 inches</li>
<li class='measurements'>
<strong>Height:</strong> 7 inches</li>
</ul>


<ul>
<li>
<strong>Material</strong>: Faux leather.</li>
</ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,CKTT-03,282.11,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/black-suede-classic-tote-bag-main.jpg?v=1668668263,active
black-suede-classic-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/black-suede-classic-tote-bag-quarter.jpg?v=1668668263,
black-suede-classic-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/black-suede-classic-tote-bag-front.jpg?v=1668668263,
black-suede-classic-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/black-suede-classic-tote-bag-side.jpg?v=1668668263,
black-suede-classic-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/black-suede-classic-tote-bag-bottom.jpg?v=1668668263,
black-suede-classic-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/products/black-suede-classic-tote-bag-inside.jpg?v=1668668263,
horse-brown-long-handle-tote-bag,Horse brown long handle tote bag,"<ul> <li class='measurements'>
<b>Width:</b> 17 inches</li> <li class='measurements'>
<b>Height:</b> 11 inches</li> <li class='measurements'>
<b>Depth:</b> 4.5 inches</li> </ul> <ul> <li class='additional-details'>One main zipper compartment, one front pocket with zipper and one slide pocket inside.</li> </ul> <ul> <li class='material'>
<b>Material: </b>Faux leather.</li> </ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,DCTN-06,220.75,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BrownDCTN_0000_Group1.jpg?v=1754032314,active
horse-brown-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BrownDCTN_0001_Group2.jpg?v=1754032314,
horse-brown-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BrownDCTN_0002_Group3.jpg?v=1754032314,
horse-brown-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BrownDCTN_0003_Group4.jpg?v=1754032314,
horse-brown-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BrownDCTN_0004_Group5.jpg?v=1754032314,
horse-brown-long-handle-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/BrownDCTN_0005_Group6.jpg?v=1754032314,
black-work-tote-bag,Black work tote bag,"<ul>    <li class='measurements'>
<b>Width:</b> 14.25 inches</li>    <li class='measurements'>
<b>Height:</b> 10.25 inches</li>    <li class='measurements'>
<b>Depth:</b> 4.8 inches</li> </ul> <ul>    <li class='additional-details'>One main zipper compartment, one pocket with zipper and one slide pocket inside.</li> </ul> <ul>    <li class='material'>
<b>Material: </b>Faux leather.</li> </ul>",Dragons Bags,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder Bags,TRUE,Title,Default Title,WTB-06,224.44,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-work-tote-bag-main.jpg?v=1755154510,active
black-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-work-tote-bag-quater.jpg?v=1755154509,
black-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-work-tote-bag-front.jpg?v=1755154509,
black-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-work-tote-bag-side.jpg?v=1755154510,
black-work-tote-bag,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0555/1000/7999/files/black-work-tote-bag-inside.jpg?v=1755154509,
